fips,tract_name,Geo_LOGRECNO,geo_tract,Geo_AREALAND,Geo_AREAWATR,Geo_GCUNI,total_hu,Geo_INTPTLAT,Geo_INTPTLON,total_pop,nhw,nhb,nhamin,nha,latino,pct_nhw,pct_nhb,pct_nhamin,pct_nha,pct_latino,ohu,ohu_oo,ohu_ro,pct_oo,pct_ro
6037106646,Census Tract 1066.46,317155,106646,1476213,0,Y,964,+34.2797379,-118.4939447,3237,1371,114,2,548,1107,42.35,3.52,0.06,16.93,34.2,933,796,137,85.32,14.68
6037106648,Census Tract 1066.48,317158,106648,792931,0,Y,1005,+34.2930983,-118.4558345,3890,215,86,9,55,3478,5.53,2.21,0.23,1.41,89.41,938,465,473,49.57,50.43
6037106649,Census Tract 1066.49,317161,106649,1108733,0,Y,727,+34.2892618,-118.4606541,2853,274,105,8,598,1824,9.6,3.68,0.28,20.96,63.93,709,600,109,84.63,15.37
6037107010,Census Tract 1070.10,317164,107010,684680,0,N,752,+34.3020803,-118.4467204,3247,199,14,4,52,2970,6.13,0.43,0.12,1.6,91.47,712,497,215,69.8,30.2
6037107020,Census Tract 1070.20,317166,107020,994796,0,N,1307,+34.2975505,-118.4504793,5404,303,56,19,343,4612,5.61,1.04,0.35,6.35,85.34,1225,855,370,69.8,30.2
6037108101,Census Tract 1081.01,317169,108101,1128632,0,N,800,+34.2793058,-118.5416524,2230,1351,71,6,507,209,60.58,3.18,0.27,22.74,9.37,789,703,86,89.1,10.9
6037108102,Census Tract 1081.02,317171,108102,2183817,0,N,1253,+34.2804584,-118.5550665,3430,1880,63,0,1064,334,54.81,1.84,0,31.02,9.74,1223,1064,159,87,13
6037108103,Census Tract 1081.03,317173,108103,2563876,0,N,1075,+34.2864236,-118.5400017,3256,1848,49,0,970,291,56.76,1.5,0,29.79,8.94,1051,986,65,93.82,6.18
6037108104,Census Tract 1081.04,317176,108104,826021,0,N,587,+34.2943135,-118.5460083,1698,1066,47,1,365,172,62.78,2.77,0.06,21.5,10.13,580,541,39,93.28,6.72
6037108201,Census Tract 1082.01,317178,108201,2805113,0,Y,1900,+34.2868634,-118.564234,5551,2310,115,2,2499,406,41.61,2.07,0.04,45.02,7.31,1848,1555,293,84.15,15.85
6037108202,Census Tract 1082.02,317181,108202,5996865,3024,Y,1972,+34.2860950,-118.5796806,4895,1967,194,10,2023,525,40.18,3.96,0.2,41.33,10.73,1826,1246,580,68.24,31.76
