Geo_QName,Geo_NAME,Geo_FIPS,Geo_CT,00P,00WNH,00BNH,00ANH,00L,00WNH_P,00BNH_P,00ANH_P,00L_P,00O25,00COL,00COL_P,00O16,00U,00U_P,00INC,00OHU,00OO,00RO,00OO_P,00RO_P,00VAL,00RENT
"Census Tract 1064.06, Los Angeles County, California",Census Tract 1064.06,6037106406,106406,4412.594,1441.115,197.9098,153.1713,2546.364,32.66,4.49,3.47,57.71,2825.282034,607.0693058,21.48703381,1829.652371,139.6394853,7.63,50530.10281,1402.898818,1092.676703,310.2221143,77.89,22.11,180401.1656,823.4885921
"Census Tract 1064.07, Los Angeles County, California",Census Tract 1064.07,6037106407,106407,2344,333.5389,202.0287,78.57603,1682.771,14.23,8.62,3.35,71.79,1232.054742,191.7035774,15.55966393,850.6687795,102.7522797,12.08,30536.86989,611.5941889,197.3753447,414.2188442,32.27,67.73,102466.5661,639.2882154
"Census Tract 1064.08, Los Angeles County, California",Census Tract 1064.08,6037106408,106408,3246,526.2815,239.4368,109.9717,2297.621,16.21,7.38,3.39,70.78,1735.571526,289.5764639,16.68478997,1265.01972,129.6790423,10.25,32720.94222,848.9040061,360.3630084,488.5409976,42.45,57.55,132952.8806,645.2812475
"Census Tract 1065.10, Los Angeles County, California",Census Tract 1065.10,6037106510,106510,3651.945,1262.545,436.0291,154.2371,1698.097,34.57,11.94,4.22,46.5,1922.660994,595.5364182,30.97459303,1487.501711,163.0154945,10.96,58890.41963,973.2971838,742.2776607,231.019523,76.26,23.74,239518.3296,893.8104646
"Census Tract 1065.20, Los Angeles County, California",Census Tract 1065.20,6037106520,106520,5717,1074,90,44,4423,18.79,1.57,0.77,77.37,3232,284,8.787128713,2257,316,14,44323.43513,1380,1104,276,80,20,151869.7152,816.779661
"Census Tract 1066.03, Los Angeles County, California",Census Tract 1066.03,6037106603,106603,3050.055,1759.455,93.97087,764.7629,313.9027,57.69,3.08,25.07,10.29,2132.339006,1730.463582,81.1533052,1618.498289,49.98450554,3.09,100723.9798,958.7028162,895.7223393,62.98047698,93.43,6.57,325588.0143,1716.233333
"Census Tract 1066.04, Los Angeles County, California",Census Tract 1066.04,6037106604,106604,4667.763,594.3932,128.6732,353.3711,3481.857,12.73,2.76,7.57,74.59,2602.270747,481.0840015,18.48708487,1908.011799,129.6334136,6.79,50043.09291,1136.93305,677.9347407,458.9983089,59.63,40.37,177039.6141,643.1666667
"Census Tract 1066.41, Los Angeles County, California",Census Tract 1066.41,6037106641,106641,2335,1539,56,388,230,65.91,2.4,16.62,9.85,1576,1011,64.14974619,1174,56,4.77,82795.8626,768,712,56,92.71,7.29,292974.894,1696.327869
"Census Tract 1066.42, Los Angeles County, California",Census Tract 1066.42,6037106642,106642,3042,2055.538,114.4092,330.5344,394.8412,67.57,3.76,10.87,12.98,2166.987089,1395.910798,64.41712574,1665.295775,46.84233177,2.81,68946.52611,1048.651017,956.9268388,91.7241784,91.25,8.75,265672.6096,1479.792252
"Census Tract 1066.43, Los Angeles County, California",Census Tract 1066.43,6037106643,106643,3879.997,2499.878,141.6423,689.9627,381.9989,64.43,3.65,17.78,9.85,2601.074408,2129.707359,81.87798674,1894.069048,43.17407021,2.28,105443.0692,1181.667379,1121.764839,59.90254024,94.93,5.07,458141.084,1596.514426
