Geo_FIPS,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,Geo_INTPTLAT,Geo_INTPTLON,10P,10WNH,10BNH,10ANH,10L,10WNH_P,10BNH_P,10ANH_P,10L_P,10OHU,10OO,10RO,10OO_P,10RO_P
6037115101,Census Tract 1151.01,"Census Tract 1151.01, Los Angeles County, California",6,37,115101,34.2394391,-118.5112305,5046,3272,195,531,899,64.84,3.86,10.52,17.82,1688,1554,134,92.06,7.94
6037115103,Census Tract 1151.03,"Census Tract 1151.03, Los Angeles County, California",6,37,115103,34.2438266,-118.5274632,2776,744,672,341,879,26.8,24.21,12.28,31.66,30,1,29,3.33,96.67
6037115104,Census Tract 1151.04,"Census Tract 1151.04, Los Angeles County, California",6,37,115104,34.2374909,-118.5226461,4444,1916,360,964,1003,43.11,8.1,21.69,22.57,1979,520,1459,26.28,73.72
6037115201,Census Tract 1152.01,"Census Tract 1152.01, Los Angeles County, California",6,37,115201,34.2441108,-118.5382749,6437,2584,405,1559,1590,40.14,6.29,24.22,24.7,2736,709,2027,25.91,74.09
6037115202,Census Tract 1152.02,"Census Tract 1152.02, Los Angeles County, California",6,37,115202,34.2332349,-118.5376549,4828,1767,305,951,1602,36.6,6.32,19.7,33.18,1832,778,1054,42.47,57.53
6037115301,Census Tract 1153.01,"Census Tract 1153.01, Los Angeles County, California",6,37,115301,34.2422846,-118.548089,4156,2312,184,777,729,55.63,4.43,18.7,17.54,1669,1038,631,62.19,37.81
6037115302,Census Tract 1153.02,"Census Tract 1153.02, Los Angeles County, California",6,37,115302,34.2259651,-118.5503049,4351,470,69,301,3455,10.8,1.59,6.92,79.41,960,310,650,32.29,67.71
6037115401,Census Tract 1154.01,"Census Tract 1154.01, Los Angeles County, California",6,37,115401,34.2248079,-118.515127,5776,1928,303,700,2667,33.38,5.25,12.12,46.17,1959,739,1220,37.72,62.28
6037115403,Census Tract 1154.03,"Census Tract 1154.03, Los Angeles County, California",6,37,115403,34.2247342,-118.5317299,3188,688,127,458,1829,21.58,3.98,14.37,57.37,978,250,728,25.56,74.44
6037115404,Census Tract 1154.04,"Census Tract 1154.04, Los Angeles County, California",6,37,115404,34.2255624,-118.5416703,2913,708,208,410,1496,24.3,7.14,14.07,51.36,824,410,414,49.76,50.24
6037117101,Census Tract 1171.01,"Census Tract 1171.01, Los Angeles County, California",6,37,117101,34.2391374,-118.4621302,4796,494,251,1769,2186,10.3,5.23,36.88,45.58,1321,876,445,66.31,33.69
6037117102,Census Tract 1171.02,"Census Tract 1171.02, Los Angeles County, California",6,37,117102,34.2481946,-118.4598237,2631,571,111,351,1544,21.7,4.22,13.34,58.68,779,603,176,77.41,22.59
6037117201,Census Tract 1172.01,"Census Tract 1172.01, Los Angeles County, California",6,37,117201,34.2426724,-118.4700895,4352,580,223,543,2875,13.33,5.12,12.48,66.06,1170,392,778,33.5,66.5
6037117202,Census Tract 1172.02,"Census Tract 1172.02, Los Angeles County, California",6,37,117202,34.2429124,-118.4788675,2471,766,110,621,911,31,4.45,25.13,36.87,714,633,81,88.66,11.34
6037117301,Census Tract 1173.01,"Census Tract 1173.01, Los Angeles County, California",6,37,117301,34.2421587,-118.4896512,3851,1741,194,549,1252,45.21,5.04,14.26,32.51,1207,1073,134,88.9,11.1
6037117302,Census Tract 1173.02,"Census Tract 1173.02, Los Angeles County, California",6,37,117302,34.238143,-118.4987424,4914,2458,219,746,1335,50.02,4.46,15.18,27.17,1679,1243,436,74.03,25.97
6037117303,Census Tract 1173.03,"Census Tract 1173.03, Los Angeles County, California",6,37,117303,34.2281097,-118.4912814,3512,1399,106,553,1376,39.83,3.02,15.75,39.18,1019,877,142,86.06,13.94
6037117404,Census Tract 1174.04,"Census Tract 1174.04, Los Angeles County, California",6,37,117404,34.2284788,-118.479077,4279,1561,209,704,1670,36.48,4.88,16.45,39.03,1288,958,330,74.38,25.62
6037117405,Census Tract 1174.05,"Census Tract 1174.05, Los Angeles County, California",6,37,117405,34.2337312,-118.4702311,3442,115,123,54,3119,3.34,3.57,1.57,90.62,781,61,720,7.81,92.19
6037117407,Census Tract 1174.07,"Census Tract 1174.07, Los Angeles County, California",6,37,117407,34.2301059,-118.4703117,3636,60,85,85,3377,1.65,2.34,2.34,92.88,841,22,819,2.62,97.38
6037117408,Census Tract 1174.08,"Census Tract 1174.08, Los Angeles County, California",6,37,117408,34.2248464,-118.4703709,2830,200,131,120,2335,7.07,4.63,4.24,82.51,813,132,681,16.24,83.76
6037117510,Census Tract 1175.10,"Census Tract 1175.10, Los Angeles County, California",6,37,117510,34.233678,-118.4621485,4028,178,139,311,3359,4.42,3.45,7.72,83.39,972,173,799,17.8,82.2
6037117520,Census Tract 1175.20,"Census Tract 1175.20, Los Angeles County, California",6,37,117520,34.2300853,-118.4621861,4052,154,166,197,3484,3.8,4.1,4.86,85.98,910,178,732,19.56,80.44
6037117530,Census Tract 1175.30,"Census Tract 1175.30, Los Angeles County, California",6,37,117530,34.2264373,-118.4643776,5641,288,173,870,4232,5.11,3.07,15.42,75.02,1478,399,1079,27,73
6037119001,Census Tract 1190.01,"Census Tract 1190.01, Los Angeles County, California",6,37,119001,34.2351095,-118.4203143,4038,392,31,680,2846,9.71,0.77,16.84,70.48,947,783,164,82.68,17.32
6037119002,Census Tract 1190.02,"Census Tract 1190.02, Los Angeles County, California",6,37,119002,34.2469249,-118.4275349,7210,383,35,482,6234,5.31,0.49,6.69,86.46,1580,1108,472,70.13,29.87
6037119201,Census Tract 1192.01,"Census Tract 1192.01, Los Angeles County, California",6,37,119201,34.2462338,-118.440639,4137,266,47,216,3574,6.43,1.14,5.22,86.39,882,674,208,76.42,23.58
6037119202,Census Tract 1192.02,"Census Tract 1192.02, Los Angeles County, California",6,37,119202,34.2547197,-118.4424803,4707,237,69,177,4189,5.04,1.47,3.76,89,1040,706,334,67.88,32.12
